yearmonth	actor1	actor2	Total	BaseCode_010	BaseCode_011	BaseCode_012	BaseCode_013	BaseCode_014	BaseCode_015	BaseCode_016	BaseCode_017	BaseCode_018	BaseCode_019	BaseCode_020	BaseCode_021	BaseCode_022	BaseCode_023	BaseCode_024	BaseCode_025	BaseCode_026	BaseCode_027	BaseCode_028	BaseCode_030	BaseCode_031	BaseCode_032	BaseCode_033	BaseCode_034	BaseCode_035	BaseCode_036	BaseCode_037	BaseCode_038	BaseCode_039	BaseCode_040	BaseCode_041	BaseCode_042	BaseCode_043	BaseCode_044	BaseCode_045	BaseCode_046	BaseCode_050	BaseCode_051	BaseCode_052	BaseCode_053	BaseCode_054	BaseCode_055	BaseCode_056	BaseCode_057	BaseCode_060	BaseCode_061	BaseCode_062	BaseCode_063	BaseCode_064	BaseCode_070	BaseCode_071	BaseCode_072	BaseCode_073	BaseCode_074	BaseCode_075	BaseCode_080	BaseCode_081	BaseCode_082	BaseCode_083	BaseCode_084	BaseCode_085	BaseCode_086	BaseCode_087	BaseCode_090	BaseCode_091	BaseCode_092	BaseCode_093	BaseCode_094	BaseCode_100	BaseCode_101	BaseCode_102	BaseCode_103	BaseCode_104	BaseCode_105	BaseCode_106	BaseCode_107	BaseCode_108	BaseCode_110	BaseCode_111	BaseCode_112	BaseCode_113	BaseCode_114	BaseCode_115	BaseCode_116	BaseCode_120	BaseCode_121	BaseCode_122	BaseCode_123	BaseCode_124	BaseCode_125	BaseCode_126	BaseCode_127	BaseCode_128	BaseCode_129	BaseCode_130	BaseCode_131	BaseCode_132	BaseCode_133	BaseCode_134	BaseCode_135	BaseCode_136	BaseCode_137	BaseCode_138	BaseCode_139	BaseCode_140	BaseCode_141	BaseCode_142	BaseCode_143	BaseCode_144	BaseCode_145	BaseCode_150	BaseCode_151	BaseCode_152	BaseCode_153	BaseCode_154	BaseCode_155	BaseCode_160	BaseCode_161	BaseCode_162	BaseCode_163	BaseCode_164	BaseCode_165	BaseCode_166	BaseCode_170	BaseCode_171	BaseCode_172	BaseCode_173	BaseCode_174	BaseCode_175	BaseCode_176	BaseCode_180	BaseCode_181	BaseCode_182	BaseCode_183	BaseCode_184	BaseCode_185	BaseCode_186	BaseCode_190	BaseCode_191	BaseCode_192	BaseCode_193	BaseCode_194	BaseCode_195	BaseCode_196	BaseCode_200	BaseCode_201	BaseCode_202	BaseCode_203	BaseCode_204	RootCode_01	RootCode_02	RootCode_03	RootCode_04	RootCode_05	RootCode_06	RootCode_07	RootCode_08	RootCode_09	RootCode_10	RootCode_11	RootCode_12	RootCode_13	RootCode_14	RootCode_15	RootCode_16	RootCode_17	RootCode_18	RootCode_19	RootCode_20	QuadCode_1	QuadCode_2	QuadCode_3	QuadCode_4
201306	USA	CHN	7801	453	8	248	219	45	9	21	7	6	6	373	86	7	19	5	6	21	3	0	216	33	8	10	0	14	350	0	0	5	685	25	603	616	74	16	589	258	201	1	2	4	3	0	74	68	136	4	0	4	60	44	9	3	0	17	113	1	0	0	158	1	1	6	215	13	0	0	0	120	8	0	0	0	4	0	0	0	117	153	310	0	30	0	0	156	0	0	0	0	12	0	0	0	19	83	4	0	0	2	0	0	0	29	0	4	23	0	1	0	1	6	0	0	0	7	0	35	0	0	10	13	0	0	17	5	64	139	76	0	0	6	11	6	0	0	0	0	98	0	26	20	0	4	0	0	0	0	0	0	1022	520	636	2608	543	212	133	280	228	132	610	187	118	29	13	58	301	23	148	0	5329	853	1076	543
201307	USA	CHN	7570	350	6	181	152	22	47	24	24	28	0	309	5	7	45	0	12	29	23	2	149	51	5	17	0	5	321	1	0	0	448	2	719	838	15	6	632	143	290	0	0	4	7	0	146	73	390	9	0	2	88	85	5	9	0	22	82	7	0	14	43	0	1	12	199	1	0	0	0	54	3	0	0	0	0	0	0	0	152	169	213	3	75	2	0	98	0	3	2	3	5	0	0	1	12	96	0	0	0	0	0	0	0	9	1	1	27	1	3	0	0	1	4	0	0	9	0	10	13	0	6	14	0	0	4	1	38	116	19	0	0	6	1	72	3	0	0	5	167	1	10	27	2	1	0	0	0	0	0	0	834	432	549	2660	590	474	209	159	200	57	614	124	106	32	14	43	178	87	208	0	5065	1042	933	530
201308	USA	CHN	5340	284	2	91	68	16	23	6	17	3	0	180	4	2	15	1	22	3	4	0	96	24	0	6	0	10	327	3	0	6	463	8	635	476	3	6	390	102	184	0	2	6	2	0	48	72	223	27	0	1	53	75	2	12	0	15	41	2	1	3	44	0	0	11	147	0	0	0	0	36	0	0	0	2	0	0	0	0	72	103	170	0	43	0	0	89	0	0	0	4	5	0	0	2	17	30	1	1	0	0	0	0	0	10	1	1	12	0	0	0	0	16	0	0	0	4	0	7	3	0	1	9	0	3	9	15	65	174	4	0	0	17	0	5	0	0	0	3	87	2	26	17	1	6	0	0	0	0	0	0	510	231	472	1981	344	323	157	102	147	38	388	117	43	13	20	23	267	25	139	0	3538	729	599	474
201309	USA	CHN	6445	303	0	78	76	44	54	11	25	0	1	280	8	4	4	3	6	4	0	0	274	49	3	13	0	12	568	13	0	0	736	4	562	553	66	1	565	89	230	1	0	10	2	0	116	70	207	19	0	1	75	44	6	6	0	4	91	12	0	13	44	5	0	10	97	3	0	0	0	55	3	0	0	6	2	0	0	0	83	78	70	0	11	1	0	72	0	0	0	14	14	0	0	2	26	25	0	0	0	0	0	0	0	2	0	2	18	0	0	0	0	15	2	0	0	3	0	19	5	2	20	24	0	0	13	0	77	113	2	0	0	8	1	5	4	0	0	3	117	0	10	37	3	0	0	0	0	3	0	0	592	309	932	2487	448	297	135	175	100	66	243	128	27	20	20	70	205	21	167	3	4768	707	484	486
201310	USA	CHN	6286	332	3	155	64	46	14	9	21	2	10	246	3	11	5	1	11	19	0	0	105	49	4	19	0	14	346	2	0	1	486	10	621	495	75	6	634	94	198	5	2	13	12	0	103	108	200	7	3	2	41	52	15	1	0	6	36	19	1	2	68	0	0	4	121	0	2	0	0	57	6	0	0	0	4	1	0	0	102	118	80	4	17	1	0	84	0	0	2	0	17	0	0	4	8	51	8	0	0	0	0	0	0	2	0	5	20	0	2	0	6	8	0	0	0	5	0	44	45	2	29	31	0	1	6	4	182	168	0	7	0	15	0	15	0	0	0	3	145	0	11	30	0	2	0	0	0	0	0	0	656	296	540	2327	427	320	115	130	123	68	322	115	61	33	13	152	367	33	188	0	4246	688	599	753
201311	USA	CHN	7763	392	3	369	101	31	28	23	8	13	2	359	12	1	8	5	19	15	2	0	295	45	4	9	0	12	497	43	0	0	531	17	671	617	37	12	820	151	215	15	1	5	12	0	140	92	178	12	5	1	48	61	9	13	0	11	36	6	2	36	55	4	0	18	209	2	0	0	0	75	1	0	0	1	0	0	0	0	234	151	97	8	25	0	0	150	0	0	3	0	1	0	0	63	13	87	5	0	0	0	0	0	0	8	0	1	21	2	3	0	0	9	4	0	0	10	0	31	4	0	23	38	0	0	4	1	70	124	4	0	0	4	0	10	6	0	0	2	88	3	13	16	6	6	0	0	0	0	0	0	970	421	905	2705	539	288	142	157	211	77	515	230	100	27	23	96	203	22	132	0	5540	798	949	476
201312	USA	CHN	8021	403	14	229	183	37	45	19	18	7	3	318	10	8	8	14	70	5	0	4	310	31	2	39	0	18	297	54	0	3	539	14	1061	602	55	5	330	214	259	2	8	16	6	0	131	114	258	11	5	8	86	48	0	10	1	7	54	10	1	9	122	0	1	12	121	0	0	0	0	69	0	0	0	0	5	0	0	0	311	109	155	3	66	2	0	199	0	5	4	17	14	0	0	72	2	115	5	0	0	0	0	0	0	8	3	0	28	0	0	0	0	5	1	0	0	23	0	54	0	0	11	4	0	2	11	25	70	172	2	0	0	7	0	8	1	0	0	1	129	0	19	9	0	3	0	0	0	3	0	0	958	437	754	2606	636	396	152	209	121	74	646	313	131	28	29	71	280	17	160	3	5391	878	1192	560
201401	USA	CHN	4639	311	4	211	94	17	83	1	12	10	4	164	4	2	5	4	23	19	2	0	180	29	19	4	1	1	156	10	0	0	218	5	362	291	15	8	208	114	203	12	4	4	4	0	71	113	221	5	0	0	56	33	5	31	0	1	24	1	0	7	87	5	0	6	83	0	0	0	0	51	2	0	0	0	0	0	0	0	105	128	191	3	13	1	0	91	0	0	4	1	1	0	0	10	0	49	0	0	1	0	0	0	0	3	0	0	13	0	0	3	0	3	0	0	0	0	0	8	9	0	9	8	0	0	7	9	33	88	1	1	0	58	5	12	2	0	0	1	129	0	8	11	0	0	0	0	0	0	0	0	747	223	400	1107	412	339	126	130	83	53	441	107	53	16	3	34	139	78	148	0	2889	678	670	402
201402	USA	CHN	7198	403	9	240	65	30	32	28	19	6	1	325	7	10	15	16	88	58	8	0	194	25	12	10	0	5	392	37	0	0	558	16	569	447	17	4	535	236	390	6	0	43	5	0	135	59	203	6	0	0	85	20	9	7	0	17	34	1	0	4	77	0	0	9	128	0	0	0	0	93	3	0	0	22	3	0	0	0	191	120	129	2	42	1	0	197	1	0	0	2	7	0	0	28	5	139	1	0	0	0	0	0	0	24	0	2	26	0	0	0	0	3	0	0	0	8	0	45	15	0	17	17	0	0	3	8	125	81	0	0	0	7	0	10	4	0	0	5	122	2	10	17	2	0	0	0	0	4	0	0	833	527	675	2146	815	268	138	125	128	121	485	240	164	28	11	94	217	26	153	4	4996	659	1038	505
201403	USA	CHN	7466	421	5	176	65	68	12	13	36	17	3	266	1	15	7	25	19	24	0	0	125	28	0	7	0	3	715	52	0	0	601	27	1180	471	62	24	391	169	261	5	3	13	1	0	112	101	127	7	15	0	82	55	9	19	2	6	28	4	0	5	84	0	1	15	249	0	2	0	1	59	4	0	0	1	0	0	0	0	167	163	128	1	34	9	0	123	0	0	2	3	7	0	2	11	7	53	0	0	2	0	0	0	0	3	0	6	24	1	2	0	2	8	0	0	3	4	0	10	4	0	2	5	0	0	12	13	54	113	5	3	0	6	0	7	0	0	0	4	128	0	20	10	5	1	0	0	0	0	0	0	816	357	930	2756	564	250	173	137	252	64	502	155	58	35	15	21	200	17	164	0	5423	812	814	417
