	agency	sku	volume	date	industry_volume	soda_volume	avg_max_temp	price_regular	price_actual	discount	...	football_gold_cup	beer_capital	music_fest	discount_in_percent	timeseries	time_idx	month	log_volume	avg_volume_by_sku	avg_volume_by_agency
291	Agency_25	SKU_03	0.5076	2013-01-01	492612703	718394219	25.845238	1264.162234	1152.473405	111.688829	...	-	-	-	8.835008	228	0	1	-0.678062	1225.306376	99.650400
871	Agency_29	SKU_02	8.7480	2015-01-01	498567142	762225057	27.584615	1316.098485	1296.804924	19.293561	...	-	-	-	1.465966	177	24	1	2.168825	1634.434615	11.397086
19532	Agency_47	SKU_01	4.9680	2013-09-01	454252482	789624076	30.665957	1269.250000	1266.490490	2.759510	...	-	-	-	0.217413	322	8	9	1.603017	2625.472644	48.295650
2089	Agency_53	SKU_07	21.6825	2013-10-01	480693900	791658684	29.197727	1193.842373	1128.124395	65.717978	...	-	beer_capital	-	5.504745	240	9	10	3.076505	38.529107	2511.035175
9755	Agency_17	SKU_02	960.5520	2015-03-01	515468092	871204688	23.608120	1338.334248	1232.128069	106.206179	...	-	-	music_fest	7.935699	259	26	3	6.867508	2143.677462	396.022140
7561	Agency_05	SKU_03	1184.6535	2014-02-01	425528909	734443953	28.668254	1369.556376	1161.135214	208.421162	...	-	-	-	15.218151	21	13	2	7.077206	1566.643589	1881.866367
19204	Agency_11	SKU_05	5.5593	2017-08-01	623319783	1049868815	31.915385	1922.486644	1651.307674	271.178970	...	-	-	-	14.105636	17	55	8	1.715472	1385.225478	109.699200
8781	Agency_48	SKU_04	4275.1605	2013-03-01	509281531	892192092	26.767857	1761.258209	1546.059670	215.198539	...	-	-	music_fest	12.218455	151	2	3	8.360577	1757.950603	1925.272108
2540	Agency_07	SKU_21	0.0000	2015-10-01	544203593	761469815	28.987755	0.000000	0.000000	0.000000	...	-	-	-	0.000000	300	33	10	-18.420681	0.000000	2418.719550
12084	Agency_21	SKU_03	46.3608	2017-04-01	589969396	940912941	32.478910	1675.922116	1413.571789	262.350327	...	-	-	-	15.654088	181	51	4	3.836454	2034.293024	109.381800
